SEM,CODIGO,CURSO,TIPO,HORAS,CREDITOS,PREREQUISITO
I,CS111,PROGRAMACION DE VIDEO JUEGOS,O,6,4,[]
I,CS1D1,ESTRUCTURAS DISCRETAS I,O,6,4,[]
I,FG101,COMUNICACION,O,4,3,[]
I,FG102,METODOLOGIA DEL ESTUDIO,O,4,3,[]
I,FG103,INTRODUCCION A LA VIDA UNIVERSITARIA,O,4,3,[]
I,MA100,MATEMATICA I,O,6,5,[]
II,CS100,INTRODUCCION DE CIENCIA DE LA COMPUTACION,O,4,3,['PROGRAMACION DE VIDEO JUEGOS']
II,CS112,CIENCIA DE LA COMPUTACION I,O,8,5,['PROGRAMACION DE VIDEO JUEGOS']
II,CS1D2,ESTRUCTURAS DISCRETAS II,O,6,4,['ESTRUCTURAS DISCRETAS I']
II,FG104,INTRODUCCION A LA FILOSOFIA,O,3,2,[]
II,FG105,APRECIACION MUSICAL,EH,3,2,[]
II,FG111,"PERSONA, MATRIMONIO Y FAMILIA",EH,3,2,[]
II,MA101,MATEMATICA II,O,6,4,['MATEMATICA I']
III,CS113,CIENCIA DE LA COMPUTACION II,O,6,4,['CIENCIA DE LA COMPUTACION I']
III,CS1D3,ALGEBRA ABSTRACTA,O,4,3,"['CIENCIA DE LA COMPUTACION I', 'ESTRUCTURA DISCRETAS I']"
III,CS221,ARQUITECTURA DE COMPUTADORES,O,4,3,['ESTRUCTURAS DISCRETAS II']
III,CS231,DESARROLLO BASADO EN PLATAFORMAS,O,4,3,['CIENCIA DE LA COMPUTACION I']
III,FG107,ANTROPOLOGIA FILOSOFICA Y TEOLOGICA,O,3,2,['INTRODUCCION A LA FILOSOFIA']
III,FG201,APRECIACION ARTISTICA,EH,3,2,[]
III,FG202,APRECIACION LITERARIA,EH,3,2,[]
III,MA102,CALCULO I,O,6,4,['MATEMATICA I']
IV,CS210,ALGORITMOS Y ESTRUCTURAS DE DATOS,O,6,4,"['CIENCIA DE LA COMPUTACION II', 'INTRODUCCION DE CIENCIA DE LA COMPUTACION']"
IV,CS211,TEORIA DE LA COMPUTACION,O,6,4,['ESTRUCTURAS DISCRETAS II']
IV,CS271,BASES DE DATOS I,O,6,4,['ALGEBRA ABSTRACTA']
IV,FG204,TEOLOGIA,O,3,2,['ANTROPOLOGIA FILOSOFICA Y TEOLOGICA']
IV,MA201,CALCULO II,O,6,4,"['CALCULO I', 'MATEMATICA II']"
IV,MA203,ESTADISTICA Y PROBABILIDADES,O,6,4,['CALCULO I']
V,CB111,FISICA COMPUTACIONAL,O,6,4,['CALCULO I']
V,CS212,ANALISIS Y DISENO DE ALGORITMOS,O,6,4,['ALGORITMOS Y ESTRUCTURAS DE DATOS']
V,CS272,BASES DE DATOS II,O,5,3,"['BASES DE DATOS I', '300 PTS. RANKING DE INGLES']"
V,CS291,INGENIERIA DE SOFTWARE I,O,6,4,"['CIENCIA DE LA COMPUTACION II', 'BASES DE DATOS I']"
V,FG106,TEATRO,O,3,2,[]
V,FG210,MORAL,O,3,2,['TEOLOGIA']
V,MA306,ANALISIS NUMERICO,O,5,3,['CALCULO II']
VI,CS292,INGENIERIA DE SOFTWARE II,O,6,4,['INGENIERIA DE SOFTWARE I']
VI,CS251,SISTEMAS OPERATIVOS,O,6,4,['ARQUITECTURA DE COMPUTADORES']
VI,CS311,PROGRAMACION COMPETITIVA,O,6,4,['ANALISIS Y DISENO DE ALGORITMOS']
VI,CS312,ESTRUCTURAS DE DATOS AVANZADAS,O,6,4,['ANALISIS Y DISENO DE ALGORITMOS']
VI,FG203,ORATORIA,O,3,2,['TEATRO']
VI,MA307,MATEMATICA APLICADA A LA COMPUTACION,O,6,4,['CALCULO II']
VII,CS331,REDES Y COMUNICACION,O,5,3,"['SISTEMAS OPERATIVOS', '400 PTS. RANKING DE INGLES']"
VII,CS261,COMPUTACION GRAFICA,O,6,4,"['ESTRUCTURAS DE DATOS AVANZADAS', 'ANALISIS NUMERICO']"
VII,CS281,INTELIGENCIA ARTIFICIAL,O,6,4,['ESTADISTICA Y PROBABILIDADES']
VII,CS341,LENGUAJES DE PROGRAMACION,O,6,4,['TEORIA DE LA COMPUTACION']
VII,CS391,INGENIERIA DE SOFTWARE III,O,4,3,['INGENIERIA DE SOFTWARE II']
VII,ET101,METODOLOGIA DE LA INVESTIGACION EN COMPUTACION,O,3,2,"['ANALISIS Y DISENO DE ALGORITMOS', '100 CREDITOS APROBADOS']"
VII,FG350,LIDERAZGO,O,3,2,['ORATORIA']
VIII,CS201,COMPUTACION EN LA SOCIEDAD,O,2,2,['MORAL']
VIII,CS2H1,INTERACCION HUMANO COMPUTADOR,O,5,3,['COMPUTACION GRAFICA']
VIII,CS342,COMPILADORES,O,6,4,['LENGUAJES DE PROGRAMACION']
VIII,CS351,SEGURIDAD EN COMPUTACION,O,6,4,['REDES Y COMUNICACION']
VIII,CS3P1,COMPUTACION PARALELA Y DISTRIBUIDA,O,6,4,"['REDES Y COMUNICACION', 'ANALISIS Y DISENO DE ALGORITMOS']"
VIII,CS402,PROYECTO FINAL DE CARRERA I,O,4,3,['METODOLOGIA DE LA INVESTIGACION EN COMPUTACION']
VIII,FG205,HISTORIA DE LA CULTURA,O,3,3,[]
IX,CB309,COMPUTACION MOLECULAR BIOLOGICA,EP,6,4,"['MATEMATICA APLICADA A LA COMPUTACION', 'ANALISIS Y DISENO DE ALGORITMOS']"
IX,CS361,TOPICOS EN COMPUTACION GRAFICA,EP,6,4,['COMPUTACION GRAFICA']
IX,CS381,TOPICOS EN INTELIGENCIA ARTIFICIAL,EP,6,4,['INTELIGENCIA ARTIFICIAL']
IX,CS370,BIG DATA,O,5,3,"['COMPUTACION PARALELA Y DISTRIBUIDA', 'BASE DE DATOS II']"
IX,CS392,TOPICOS AVANZADOS EN INGENIERIA DE SOFTWARE,EP,6,4,['INGENIERIA DE SOFTWARE III']
IX,CS403,PROYECTO FINAL DE CARRERA II,O,4,3,['PROYECTO FINAL DE CARRERA I']
IX,ET201,FORMACION DE EMPRESAS DE BASE TECNOLOGICA I,O,4,3,['LIDERAZGO']
IX,FG221,HISTORIA DE LA CIENCIA Y TECNOLOGIA,O,3,2,['HISTORIA DE LA CULTURA']
IX,FG301,ENSENANZA SOCIAL DE LA IGLESIA,O,3,3,['MORAL']
X,CS362,ROBOTICA,EP,6,4,['TOPICOS EN INTELIGENCIA ARTIFICIAL']
X,CS393,SISTEMAS DE INFORMACION,EP,6,4,['INGENIERIA DE SOFTWARE II']
X,CS3P2,CLOUD COMPUTING,O,5,3,['BIG DATA']
X,CS404,PROYECTO FINAL DE CARRERA III,O,4,3,['PROYECTO FINAL DE CARRERA II']
X,ET301,FORMACION DE EMPRESAS DE BASE TECNOLOGICA II,O,4,3,['FORMACION DE EMPRESAS DE BASE TECNOLOGICA I']
X,FG211,ETICA PROFESIONAL,O,3,3,['ENSENANZA SOCIAL DE LA IGLESIA']
X,FG220,ANALISIS DE LA REALIDAD PERUANA,O,3,3,['HISTORIA DE LA CIENCIA Y TECNOLOGIA']
X,ID101,INGLES TECNICO PROFESIONAL,O,4,3,[]
